,watch-title,watch-view-count,watch-time-text,content_watch-info-tag-list,watch7-headline,watch7-user-header,watch8-sentiment-actions,og:image,og:image:width,og:image:height,og:description,og:video:width,og:video:height,og:video:tag,channel_link_0
10,,,,,,,,https://i.ytimg.com/vi/1WF30w4uXO4/maxresdefault.jpg,1280.0,720.0,"Kaggle Titanic Competition Winner Time-lapse This notebook on Kaggle Titanic Machine Learning Competition attracted over 4500 upvotes, let's learn from this ...",1280.0,720.0,Kaggle Titanic,
11,Kaggle COVID-19 Dataset Analysis Explained in Hindi,617 visualizações,Publicado em 31 de mar. de 2020,Ciência e tecnologia,Kaggle COVID-19 Dataset Analysis Explained in Hindi,"Neural Tech













Carregando...
    







        Cancelar inscrição de Neural Tech?
      


Não
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição513 











Carregando...
    









Carregando...
    













        Processando...","617 visualizações







29

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



30


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/1gnxjDUoqMQ/hqdefault.jpg,480.0,360.0,Hey guys welcome to my channel neural tech and welcome to another exciting videos so today in this video I am gonna show you how to use kaggle COVID-19 datas...,1280.0,720.0,kaggle corona dataset,/channel/UCti-o2391jQ8dXQzOk6-m5Q
12,Kaggle实战课程 第03课 排序与CTR预估问题,9 visualizações,Publicado em 25 de mai. de 2020,Pessoas e blogs,Kaggle实战课程 第03课 排序与CTR预估问题,"BiteOfPython













Carregando...
    







        Cancelar inscrição de BiteOfPython?
      


Não
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição4,08 mil 











Carregando...
    









Carregando...
    













        Processando...","9 visualizações







0

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/2F9cChYbIic/maxresdefault.jpg,1280.0,720.0,下载资料课件 其他课程推荐 https://linktr.ee/biteofpython,1280.0,720.0,数据挖掘,/channel/UCg7wOvE1a9tV2qGgTPDJHpQ
13,Train and deploy ML models at scale using Azure Machine Learning  | INT134C,54 visualizações,Publicado em 26 de mai. de 2020,Ciência e tecnologia,Train and deploy ML models at scale using Azure Machine Learning  | INT134C,"Microsoft Developer













Carregando...
    







        Cancelar inscrição de Microsoft Developer?
      


Não
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição212 mil 











Carregando...
    









Carregando...
    













        Processando...","54 visualizações







1

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



2


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/2OgBxYCnVGk/maxresdefault.jpg,1280.0,720.0,This demo-packed session walks through using ML/AI to solve real world challenges. Use Jupyter notebooks with deep learning & no-code Automated ML to enable ...,1280.0,720.0,Jessica Crump,/channel/UCsMica-v34Irf9KVTh6xx-g
14,K Means Elbow Curve | Machine Learning | Intellify,7 visualizações,Publicado em 23 de mai. de 2020,Educação,"#intellify #cbse #ncertsolutions



    K Means Elbow Curve | Machine Learning | Intellify","Learn with Intellify













Carregando...
    







        Cancelar inscrição de Learn with Intellify?
      


Não
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição21,3 mil 











Carregando...
    









Carregando...
    













        Processando...","7 visualizações







0

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/2WE6OoQ9PpQ/hqdefault.jpg,480.0,360.0,In this video you will learn how to choose the correct value of k i.e. the optimum value of k which neither too large nor too small with the help of Elbow Me...,960.0,720.0,Creativity,/channel/UCe-v9_zFdD_kNASv7r5yrEQ
15,Top 10 Machine learning PROJECTS for starters | Practical ml project with GITHUB code,163 visualizações,Publicado em 26 de mai. de 2020,Pessoas e blogs,Top 10 Machine learning PROJECTS for starters | Practical ml project with GITHUB code,"ProgrammingHut













Carregando...
    







        Cancelar inscrição de ProgrammingHut?
      


Não
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição 











Carregando...
    









Carregando...
    













        Processando...","163 visualizações







16

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



17


2

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



3",https://i.ytimg.com/vi/2d_tTVr2lDk/maxresdefault.jpg,1280.0,720.0,I have shared some ideas with you so that you can successfully create your projects . I also shared code of the projects i have made. Don't forget to subscri...,1280.0,720.0,github code,/channel/UCx1_WfGX9D9rmsJNBM5qsMA
16,Online International Webinar on Artificial Intelligence & Data Science by DYPCOE - Day2 Proceeding,3 visualizações,Publicado em 26 de mai. de 2020,Entretenimento,Online International Webinar on Artificial Intelligence & Data Science by DYPCOE - Day2 Proceeding,"D.Y. PATIL COLLEGE OF ENGINEERING, AKURDI, PUNE













Carregando...
    







        Cancelar inscrição de D.Y. PATIL COLLEGE OF ENGINEERING, AKURDI, PUNE?
      


Não
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição2,12 mil 











Carregando...
    









Carregando...
    













        Processando...","3 visualizações







0

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/2el5sHOjVh8/maxresdefault.jpg,1280.0,720.0,"Online International Webinar on Artificial Intelligence & Data Science by D.Y. Patil Collrge of Engineering, Akurdi, Pune - 44: Day2 Proceeding",1280.0,720.0,,/channel/UCl7EyZv0Rb3QKxgTjDQ3e-Q
17,Kaggle NotebookのCommit方法 / How to commit Kaggle Notebook（April 3rd 2020）,1.276 visualizações,Publicado em 3 de abr. de 2020,Pessoas e blogs,Kaggle NotebookのCommit方法 / How to commit Kaggle Notebook（April 3rd 2020）,"uΔΔTube













Carregando...
    







        Cancelar inscrição de uΔΔTube?
      


Não
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição256 











Carregando...
    









Carregando...
    













        Processando...","1.276 visualizações







39

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



40


1

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



2",https://i.ytimg.com/vi/2kMzUfajj1U/maxresdefault.jpg,1280.0,720.0,2020年4月3日時点でのKaggle NotebookのCommit方法を解説しています。『PythonではじめるKaggleスタートブック』のサポート動画です。質問は下記サポートサイトまでお願いします。 https://github.com/upura/python-kaggle-start-book,1280.0,720.0,,/channel/UCX1kD7i5JvvRIZdo9xjlakw
18,COVID19 Kaggle Dataset Analysis and Visualization بالعربي [الجزء الثاني],68 visualizações,Publicado em 22 de mar. de 2020,Educação,COVID19 Kaggle Dataset Analysis and Visualization بالعربي [الجزء الثاني],"Mohammed Ashour













Carregando...
    







        Cancelar inscrição de Mohammed Ashour?
      


Não
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição283 











Carregando...
    









Carregando...
    













        Processando...","68 visualizações







2

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



3


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/30pDFWINhNk/maxresdefault.jpg,1280.0,720.0,في السلسلة دي بنحاول نلعب شوية مع الداتا اللي معانا من kaggle واللي هتلاقيها هنا https://www.kaggle.com/imdevskp/corona-virus-report بحيث نطلع بشوية stats و ...,1280.0,720.0,kaggle,/channel/UCMWoyK_xNL4Ubbhoiwylhxg
19,"You Ask, I Answer: Tools or Concepts in Marketing Data Science?",8 visualizações,Publicado em 26 de mai. de 2020,Educação,"#email #marketing #analytics



    You Ask, I Answer: Tools or Concepts in Marketing Data Science?","Christopher Penn














Carregando...
    







        Cancelar inscrição de Christopher Penn?
      


Não
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição1,17 mil 











Carregando...
    









Carregando...
    













        Processando...","8 visualizações







0

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/3oM1kTNr96E/hqdefault.jpg,480.0,360.0,"Jessica asks, ""Which should we focus on learning most in marketing data science, concepts or tools?"" Without a doubt, concepts. You learn frying, not a speci...",1280.0,720.0,marketing data science,/channel/UChELZ_JMGNYuxObfrXoER6A
20,Use Google Colab to train for LIVE KAGGLE COMPETITION 1 (16 days to go),113 visualizações,Publicado em 29 de fev. de 2020,Educação,Use Google Colab to train for LIVE KAGGLE COMPETITION 1 (16 days to go),"Salman Ahmed













Carregando...
    







        Cancelar inscrição de Salman Ahmed?
      


Não
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição66 











Carregando...
    









Carregando...
    













        Processando...","113 visualizações







7

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



8


1

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



2",https://i.ytimg.com/vi/3qtWAFa0FhM/maxresdefault.jpg,1280.0,720.0,Most of my fellows try to compete but don't have enough resources like me :D So here we will use Google Colab to train our Resnet for Kaggle Competition. We ...,1280.0,720.0,,/channel/UCsmbZXapyT74DnBZ0OEOFOg
21,"Fast.ai, Learning to Learn | Machine Learning, Kaggle & Blogging | Interview with Radek Osmulski",829 visualizações,Estreou em 1 de mar. de 2020,Pessoas e blogs,"Fast.ai, Learning to Learn | Machine Learning, Kaggle & Blogging | Interview with Radek Osmulski","Sanyam Bhutani Chai Time Data Science













Carregando...
    







        Cancelar inscrição de Sanyam Bhutani Chai Time Data Science?
      


Não
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição1,62 mil 











Carregando...
    









Carregando...
    













        Processando...","829 visualizações







48

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



49


2

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



3",https://i.ytimg.com/vi/4h41v07bYYI/maxresdefault.jpg,1280.0,720.0,Audio (Podcast Version) available here: https://anchor.fm/chaitimedatascience Subscribe here to the newsletter: https://tinyletter.com/sanyambhutani In this ...,1280.0,720.0,,/channel/UCRjtBP-o5FbgRzX2BHQEFtQ
22,SecPoint Penetrator Vulnerability Scanner 47 AI Machine Learning AI Processing,16 visualizações,Publicado em 25 de mai. de 2020,Ciência e tecnologia,SecPoint Penetrator Vulnerability Scanner 47 AI Machine Learning AI Processing,"SecPoint - Next Generation Cyber Security













Carregando...
    







        Cancelar inscrição de SecPoint - Next Generation Cyber Security?
      


Não
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição2,22 mil 











Carregando...
    









Carregando...
    













        Processando...","16 visualizações







2

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



3


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/5cN36C5WgGE/maxresdefault.jpg,1280.0,720.0,Subscribe to the SecPoint Youtube Channel for the latest video updates SecPoint delivers the Best Cyber Security Products. https://www.secpoint.com/ https://...,1280.0,720.0,vulnerability scanner,/channel/UCT2zsxYPll0XtPis4sH3Nag
23,AI Abstraction and Reasoning | More Human-like AI | Kaggle Competition Part 1: Overview,179 visualizações,Publicado em 10 de abr. de 2020,Educação,AI Abstraction and Reasoning | More Human-like AI | Kaggle Competition Part 1: Overview,"Quinn Wang













Carregando...
    







        Cancelar inscrição de Quinn Wang?
      


Não
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição156 











Carregando...
    









Carregando...
    













        Processando...","179 visualizações







6

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



7


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/640CF1BQGDc/maxresdefault.jpg,1280.0,720.0,"""Can a computer learn complex, abstract tasks from just a few examples?"" Current Machine Learning models are data-hungry, which is different from how human i...",1280.0,720.0,Abstraction and Reasoning,/channel/UCgc9e-Ma04hZWogxvw2lp9g
24,Getting Ahead in Kaggle Competitions With Automated Machine Learning - Vlad Iliescu,125 visualizações,Publicado em 8 de abr. de 2020,Entretenimento,Getting Ahead in Kaggle Competitions With Automated Machine Learning - Vlad Iliescu,"Global AI Community













Carregando...
    







        Cancelar inscrição de Global AI Community?
      


Não
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição876 











Carregando...
    









Carregando...
    













        Processando...","125 visualizações







1

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



2


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/6Rq6UdI4RTc/maxresdefault.jpg,1280.0,720.0,"Automated machine learning is the process of automating some or all of the phases in a machine learning pipeline, such as data pre-processing, feature select...",1280.0,720.0,,/channel/UCDVL0bPrZHwCeJrlyy-wxaQ
25,Kaggle实战课程 第04课 自然语言处理NLP问题,10 visualizações,Publicado em 25 de mai. de 2020,Pessoas e blogs,Kaggle实战课程 第04课 自然语言处理NLP问题,"BiteOfPython













Carregando...
    







        Cancelar inscrição de BiteOfPython?
      


Não
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição4,08 mil 











Carregando...
    









Carregando...
    













        Processando...","10 visualizações







0

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/6eR-8AUP9Mk/maxresdefault.jpg,1280.0,720.0,下载资料课件 其他课程推荐 https://linktr.ee/biteofpython,1280.0,720.0,数据挖掘,/channel/UCg7wOvE1a9tV2qGgTPDJHpQ
26,Applied Machine Learning | Kaggle M5 Forecasting Competition Part3: Naive Forecast and Evaluation,901 visualizações,Publicado em 14 de mar. de 2020,Educação,Applied Machine Learning | Kaggle M5 Forecasting Competition Part3: Naive Forecast and Evaluation,"Quinn Wang













Carregando...
    







        Cancelar inscrição de Quinn Wang?
      


Não
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição156 











Carregando...
    









Carregando...
    













        Processando...","901 visualizações







24

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



25


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/7FwITPrBvLI/maxresdefault.jpg,1280.0,720.0,"Kaggle has released a new competition for $100,000 total prize money. In this series we will work together on this competition from start to finish, learning...",1280.0,720.0,Naive forecast,/channel/UCgc9e-Ma04hZWogxvw2lp9g
27,Categorical Plots | Machine Learning | Intellify,11 visualizações,Publicado em 26 de mai. de 2020,Educação,"#intellify #cbse #ncertsolutions



    Categorical Plots | Machine Learning | Intellify","Learn with Intellify













Carregando...
    







        Cancelar inscrição de Learn with Intellify?
      


Não
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição21,3 mil 











Carregando...
    









Carregando...
    













        Processando...","11 visualizações







2

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



3


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/7IEl0PCizyI/maxresdefault.jpg,1280.0,720.0,Dive into the world of Categorical plots and variables in this video made specially for you by our team at intellify. So what are you waiting for? Start this...,1280.0,720.0,Creativity,/channel/UCe-v9_zFdD_kNASv7r5yrEQ
28,"Do Data Science a Engenharia de Dados: Descomplicando tudo isso, com Jonas Fernandes - QuintoAndar",,Publicado em 26 de mai. de 2020,Educação,"Do Data Science a Engenharia de Dados: Descomplicando tudo isso, com Jonas Fernandes - QuintoAndar","AprendeAí Escola Digital de Inovação













Carregando...
    







        Cancelar inscrição de AprendeAí Escola Digital de Inovação?
      


Não
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição1,37 mil 











Carregando...
    









Carregando...
    













        Processando...",,https://i.ytimg.com/vi/7LbgqLPJBI0/maxresdefault.jpg,1280.0,720.0, ,1280.0,720.0,,/channel/UCJfXyn0R2UrssjN_MOgybGQ
29,"#task-vt - Apr 12, 2020 - sync on kaggle submission/geo-team integration",13 visualizações,Publicado em 12 de abr. de 2020,Licença de atribuição Creative Commons (reutilização permitida),"#task-vt - Apr 12, 2020 - sync on kaggle submission/geo-team integration","CoronaWhy













Carregando...
    







        Cancelar inscrição de CoronaWhy?
      


Não
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição84 











Carregando...
    









Carregando...
    













        Processando...","13 visualizações







0

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/7xHjlpjWm8Q/hqdefault.jpg,480.0,360.0, ,640.0,360.0,kaggle,/channel/UCEeuBPsfGE3fceAN3yL5Gig
30,Kaggle实战 第05课 能源分配问题,7 visualizações,Publicado em 25 de mai. de 2020,Pessoas e blogs,Kaggle实战 第05课 能源分配问题,"BiteOfPython













Carregando...
    







        Cancelar inscrição de BiteOfPython?
      


Não
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição4,08 mil 











Carregando...
    









Carregando...
    













        Processando...","7 visualizações







0

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/7yZIc-EeRNY/maxresdefault.jpg,1280.0,720.0,下载资料课件 其他课程推荐 https://linktr.ee/biteofpython,1280.0,720.0,数据挖掘,/channel/UCg7wOvE1a9tV2qGgTPDJHpQ
