,watch-title,y,watch-view-count,watch-time-text,content_watch-info-tag-list,watch7-headline,watch7-user-header,watch8-sentiment-actions,og:image,og:image:width,og:image:height,og:description,og:video:width,og:video:height,og:video:tag,channel_link_0,p
603,Deep Learning Kaggle Kernels | Histopathologic Cancer Detection (Top 12%),0,288 visualizações,Publicado em 3 de mar. de 2019,Pessoas e blogs,Deep Learning Kaggle Kernels | Histopathologic Cancer Detection (Top 12%),"The Computer Vision Lab













Carregando...
    







        Cancelar inscrição de The Computer Vision Lab?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição139 











Carregando...
    









Carregando...
    













        Processando...","288 visualizações







7

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



8


1

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



2",https://i.ytimg.com/vi/VsA7w1y3Bkg/maxresdefault.jpg,1280.0,720.0,This is a new series for my channel where I will be going over many different kaggle kernels that I have created for computer vision experiments/projects. Ha...,1280.0,720.0,Data Science,/channel/UCwt6d06n0cbD5l-eoXBTEcA,0.268
605,Kaggle Live-Coding: Tensorflow in R for Quora Insincere Questions Classification | Kaggle,0,1.026 visualizações,Transmitido ao vivo em 16 de nov. de 2018,Ciência e tecnologia,Kaggle Live-Coding: Tensorflow in R for Quora Insincere Questions Classification | Kaggle,"Kaggle













Carregando...
    







        Cancelar inscrição de Kaggle?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição39 mil 











Carregando...
    









Carregando...
    













        Processando...","1.026 visualizações







25

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



26


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/W4_RQSBByN4/maxresdefault.jpg,1280.0,720.0,Join Kaggle data scientist Rachael live as she works on data science projects! See previous livestreams here: https://www.youtube.com/playlist?list=PLqFaTIg4...,1280.0,720.0,CS,/channel/UCSNeZleDn9c74yQc-EKnVTA,0.379
619,Kaggle Days Meetup Milan #2 - Luca Massaron,1,55 visualizações,Publicado em 25 de out. de 2019,Pessoas e blogs,Kaggle Days Meetup Milan #2 - Luca Massaron,"LogicAI













Carregando...
    







        Cancelar inscrição de LogicAI?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição641 











Carregando...
    









Carregando...
    













        Processando...","55 visualizações







3

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



4


1

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



2",https://i.ytimg.com/vi/WlBRu6BE0AQ/maxresdefault.jpg,1280.0,720.0,"The second edition of Kaggle Days Meetup. We had the pleasure to have Luca Massaron as a speaker, talk about Kaggle PetFinder competition. Learn about deep l...",1280.0,720.0,kaggle,/channel/UCZ_qlZbg9EzwRnLq_hFQumQ,0.692
620,Kaggle Reading Group : An Open Source AutoML Benchmark | Kaggle,1,1.653 visualizações,Transmitido ao vivo em 14 de ago. de 2019,Ciência e tecnologia,Kaggle Reading Group : An Open Source AutoML Benchmark | Kaggle,"Kaggle













Carregando...
    







        Cancelar inscrição de Kaggle?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição39 mil 











Carregando...
    









Carregando...
    













        Processando...","1.653 visualizações







78

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



79


2

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



3",https://i.ytimg.com/vi/WlXhpXv9kDU/hqdefault.jpg,480.0,360.0,This week we're starting a new paper: An Open Source AutoML Benchmark by Gijsbers et al from the 2019 ICML Workshop on Automated Machine Learning. Paper: htt...,1280.0,720.0,reading group,/channel/UCSNeZleDn9c74yQc-EKnVTA,0.263
632,BigQuery - End-to-End Machine Learning with TensorFlow on GCP from Google Cloud #6,0,510 visualizações,Publicado em 12 de abr. de 2019,Educação,BigQuery - End-to-End Machine Learning with TensorFlow on GCP from Google Cloud #6,"Coursera














Carregando...
    







        Cancelar inscrição de Coursera?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição128 mil 











Carregando...
    









Carregando...
    













        Processando...","510 visualizações







2

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



3


1

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



2",https://i.ytimg.com/vi/XGOvuWXq6Xc/maxresdefault.jpg,1280.0,720.0,"This video is part of an online course, End-to-End Machine Learning with Tensorflow from Google Cloud. Enroll today at https://www.coursera.org/learn/end-to-...",1280.0,720.0,Bigquery,/channel/UCZ50rYSkYQG31YDEJm9Di_g,0.27
639,"Getting Started with Automated Data Pipelines, Day 1: Versioning and GitHub | Kaggle",0,7.900 visualizações,Transmitido ao vivo em 29 de jan. de 2019,Ciência e tecnologia,"Getting Started with Automated Data Pipelines, Day 1: Versioning and GitHub | Kaggle","Kaggle













Carregando...
    







        Cancelar inscrição de Kaggle?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição39 mil 











Carregando...
    









Carregando...
    













        Processando...","7.900 visualizações







169

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



170


3

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



4",https://i.ytimg.com/vi/Xi140XVOznM/maxresdefault.jpg,1280.0,720.0,"On the first livestream for the automating data pipelines event, we'll be talking about data versioning and how to connect a GitHub dataset to Kaggle. SUBSCR...",1280.0,720.0,CS,/channel/UCSNeZleDn9c74yQc-EKnVTA,0.315
642,Malaria Detection from Human cell images(Kaggle),0,331 visualizações,Publicado em 5 de ago. de 2019,Pessoas e blogs,Malaria Detection from Human cell images(Kaggle),"satchTech













Carregando...
    







        Cancelar inscrição de satchTech?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição24 











Carregando...
    









Carregando...
    













        Processando...","331 visualizações







9

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



10


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/XyNFzK7YYw0/maxresdefault.jpg,1280.0,720.0,This video is about building a machine learning Model for a Kaggle dataset that contains images of Human Cells and you have to Detect the cells which have be...,1280.0,720.0,,/channel/UCc3SbqhWWf6FOziKdraGFrg,0.262
646,Kaggle Meetup: Using News to Predict Stock Movements,1,1.005 visualizações,Publicado em 21 de fev. de 2019,Ciência e tecnologia,Kaggle Meetup: Using News to Predict Stock Movements,"Learn Data Science













Carregando...
    







        Cancelar inscrição de Learn Data Science?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição464 











Carregando...
    









Carregando...
    













        Processando...","1.005 visualizações







23

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



24


1

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



2",https://i.ytimg.com/vi/Y5JEWl8yNGk/maxresdefault.jpg,1280.0,720.0,Kaggle page: https://www.kaggle.com/c/two-sigma-financial-news Meetup page: https://www.meetup.com/LearnDataScience/events/fbczqqyzdbcc/ Slides: https://docs...,1280.0,720.0,yvr,/channel/UCJhW_16uxALr0X4olEW2p5A,0.295
652,"Masters In Artificial Intelligence, Machine Learning & Robotics | Prospect, Courses & Profiles",0,17.865 visualizações,Publicado em 6 de dez. de 2018,Educação,"#mastersinartificialintelligence #GRE #MSinUS



    Masters In Artificial Intelligence, Machine Learning & Robotics | Prospect, Courses & Profiles","GREedge













Carregando...
    







        Cancelar inscrição de GREedge?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição45,7 mil 











Carregando...
    









Carregando...
    













        Processando...","17.865 visualizações







276

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



277


26

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



27",https://i.ytimg.com/vi/YFScYAFfJEw/maxresdefault.jpg,1280.0,720.0,"Why are Artificial Intelligence, Machine Learning or Robotics courses all the rage these days! Download ""Top 10 US Universities for Master's in ML, AI & Robo...",1280.0,720.0,masters in artificial intelligence germany,/channel/UCXngArkxAfWfAivApxlHpjA,0.295
685,Kaggle Meetup: What's Cooking,0,166 visualizações,Publicado em 21 de out. de 2018,Ciência e tecnologia,Kaggle Meetup: What's Cooking,"Learn Data Science













Carregando...
    







        Cancelar inscrição de Learn Data Science?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição464 











Carregando...
    









Carregando...
    













        Processando...","166 visualizações







0

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/_APGZMsYjDg/maxresdefault.jpg,1280.0,720.0,Meetup page: https://www.meetup.com/LearnDataScience/events/wdlntpyxnbxb/ Slides: https://docs.google.com/presentation/d/1EoFv6DoK4rxRDzPELbjsYQv1dltTbRcpIyX...,1280.0,720.0,meetup,/channel/UCJhW_16uxALr0X4olEW2p5A,0.434
695,Ethics and Bias in Artificial Intelligence - 18th Vienna Deep Learning Meetup,0,1.428 visualizações,Transmitido ao vivo em 7 de mai. de 2018,Entretenimento,Ethics and Bias in Artificial Intelligence - 18th Vienna Deep Learning Meetup,"Vienna Deep Learning Meetup













Carregando...
    







        Cancelar inscrição de Vienna Deep Learning Meetup?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição233 











Carregando...
    









Carregando...
    













        Processando...","1.428 visualizações







19

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



20


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/_zwBCDmlvv8/maxresdefault.jpg,1280.0,720.0,The Vienna Deep Learning Meetup and the Centre for Informatics and Society of TU Wien jointly organized an evening of discussion on the topic of Ethics and B...,,,Ethics,/channel/UCAVBJhzHK-jleJbyYTDp8cA,0.341
705,Kaggle Meetup: CANSSI NCSC Ferry Delays,0,124 visualizações,Publicado em 3 de out. de 2019,Ciência e tecnologia,Kaggle Meetup: CANSSI NCSC Ferry Delays,"Learn Data Science













Carregando...
    







        Cancelar inscrição de Learn Data Science?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição464 











Carregando...
    









Carregando...
    













        Processando...","124 visualizações







2

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



3


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/aOGnEHywIBc/maxresdefault.jpg,1280.0,720.0,Presenter: Matt Tourond Kaggle page: https://www.kaggle.com/c/canssi-ncsc-ferry-delays Meetup page: https://www.meetup.com/LearnDataScience/events/fbczqqyznb...,1280.0,720.0,machine learning,/channel/UCJhW_16uxALr0X4olEW2p5A,0.464
708,Meetup: Custom Machine Learning Recipes: Ingredients for Success,0,222 visualizações,Publicado em 21 de nov. de 2019,Ciência e tecnologia,Meetup: Custom Machine Learning Recipes: Ingredients for Success,"H2O.ai













Carregando...
    







        Cancelar inscrição de H2O.ai?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição10,8 mil 











Carregando...
    









Carregando...
    













        Processando...","222 visualizações




Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login








Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login",https://i.ytimg.com/vi/aRKZTVnyfPM/maxresdefault.jpg,1280.0,720.0,"This meetup was recorded in Mountain View on November 12, 2019. Slides from the meetup can be viewed here: https://www.slideshare.net/0xdata/meetup-custom-ma...",1280.0,720.0,,/channel/UCk6ONJlPzjw3DohAeMSgsng,0.322
718,Kaggle Meetup: Human Protein Atlas,0,226 visualizações,Publicado em 8 de fev. de 2019,Ciência e tecnologia,Kaggle Meetup: Human Protein Atlas,"Learn Data Science













Carregando...
    







        Cancelar inscrição de Learn Data Science?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição464 











Carregando...
    









Carregando...
    













        Processando...","226 visualizações







5

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



6


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/bAgjqdQ0VE8/maxresdefault.jpg,1280.0,720.0,Kaggle page: https://www.kaggle.com/c/human-protein-atlas-image-classification Meetup page: https://www.meetup.com/LearnDataScience/events/hjhcmqyzdbkb/ Slid...,1280.0,720.0,kaggle,/channel/UCJhW_16uxALr0X4olEW2p5A,0.487
720,wataさん『サンタコンペで二度全完した話』- Kaggle meetup Tokyo #4,0,1.474 visualizações,Publicado em 12 de mai. de 2018,Pessoas e blogs,wataさん『サンタコンペで二度全完した話』- Kaggle meetup Tokyo #4,"Takami Sato













Carregando...
    







        Cancelar inscrição de Takami Sato?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição1,84 mil 











Carregando...
    









Carregando...
    













        Processando...","1.474 visualizações







24

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



25


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/bM1Xtziy6xc/maxresdefault.jpg,1280.0,720.0,資料 https://speakerdeck.com/wata_orz/santakonpedeer-du-quan-wan-sitahua Kaggle meetup tokyo #4 https://connpass.com/event/82458/,1280.0,720.0,kaggle,/channel/UCiECS_auJLNpFsvjTi1WuxQ,0.378
729,Time-Series Anomaly Detection | Kaggle NYC,1,62 visualizações,Publicado em 14 de nov. de 2019,Ciência e tecnologia,Time-Series Anomaly Detection | Kaggle NYC,"Kaggle NYC













Carregando...
    







        Cancelar inscrição de Kaggle NYC?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição40 











Carregando...
    









Carregando...
    













        Processando...","62 visualizações







6

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



7


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/c197siqxHBs/maxresdefault.jpg,1280.0,720.0,"About the speaker: Kevin Chen is currently a self-taught ML practitioner concentrating on anomaly detection, time-series, streaming data, and (later) predict...",1280.0,720.0,data science,/channel/UC6TU220DZU2dfD_FCAUq49A,0.286
744,Data Science Specialization at IFMR-GSB,0,207 visualizações,Publicado em 27 de dez. de 2018,Educação,Data Science Specialization at IFMR-GSB,"IFMR GSB KREA University













Carregando...
    







        Cancelar inscrição de IFMR GSB KREA University?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição286 











Carregando...
    









Carregando...
    













        Processando...","207 visualizações







3

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



4


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/crUfuo9GXIc/maxresdefault.jpg,1280.0,720.0,,1280.0,720.0,,/channel/UCAjwb2trX_m_6hobx02MV9g,0.469
751,"SQL Summer Camp: Group By, Having and Count| Kaggle",0,4.171 visualizações,Transmitido ao vivo em 27 de jun. de 2019,Ciência e tecnologia,"SQL Summer Camp: Group By, Having and Count| Kaggle","Kaggle













Carregando...
    







        Cancelar inscrição de Kaggle?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição39 mil 











Carregando...
    









Carregando...
    













        Processando...","4.171 visualizações







117

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



118


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/dV74IWUkI8Q/hqdefault.jpg,480.0,360.0,Today we'll learn how to write slightly more complex queries that let us ask questions about groups of records. The first 30 minutes will be lecture and and ...,1280.0,720.0,databases,/channel/UCSNeZleDn9c74yQc-EKnVTA,0.314
